センサ名,lat,log,地点名,カテゴリ,短縮名
kofu3,35.660988,138.571165,風月堂,中央,風月堂
kofu4,35.670632,138.565893,永田楽器,北口・朝日町,永田楽器
kofu5,35.662019,138.571818,文化のるつぼ Hechima,丸の内,るつぼ
kofu7,35.666474,138.567104,ライフインナカゴミ,丸の内,ライフイン
kofu9,35.663483,138.568223,防災新館1F,丸の内,防災新館
kofu10,35.660508,138.571015,河野スポーツ前,中央,河野
kofu13,35.659908,138.571535,銀座通り東（ブラザー文房具）,中央,銀座通り東
kofu17,35.661394,138.56881,ダン珈琲店,中央,ダン
kofu21,35.671693,138.566729,玉屋,北口・朝日町,玉屋
kofu22,35.665733,138.568327,奥藤本店前,丸の内,奥籐
kofu23,35.665305,138.567282,六曜館珈琲店前,丸の内,六曜館
kofu24,35.660092,138.570098,銀座通り西（ルパンザバール前）,中央,銀座通り西
kofu25,35.666321, 138.568691,甲府駅南口観光案内所,甲府駅周辺,駅南口
kofu26,35.667769, 138.570091,藤村記念館,甲府駅周辺,藤村
kofu27,35.667474,138.56915,甲府駅北口コンコース,甲府駅周辺,駅コンコース北側
kofu29,35.666682, 138.567703,甲府駅南口第１駐輪場,甲府駅周辺,第1駐輪場
kofu28,35.666348, 138.570488,甲府駅南口第２駐輪場,甲府駅周辺,第2駐輪場
kofu31,35.657720, 138.569734,甲府商工会義所,中央,商工会議所
kofu32,35.668393, 138.555370,エスティケイ,飯田,エスティケイ
kofu40,35.667598, 138.568650,甲府駅北口1,甲府駅周辺,北口1
kofu41,35.668207, 138.569315,甲府駅北口2,甲府駅周辺,北口2
kofu42,35.66655755231165, 138.56929023216748,駅南口・山梨交通ビル,甲府駅周辺,山交ビル
syosenkyo1,35.738389,138.565221,さわらび駐車場,昇仙峡,さわらび
syosenkyo2,35.745738,138.567828,金渓館,昇仙峡,金渓館
syosenkyo3,35.745890,138.567701,金渓館北,昇仙峡,金渓館北
syosenkyo4,35.746170,138.567235,金渓館北2,昇仙峡,金渓館北2
syosenkyo5,35.75014700187097, 138.56651257072704,橋本屋,昇仙峡,橋本屋
syosenkyo6,35.75345,138.56416,ロープーウェイ駅,昇仙峡,ロープーウェイ
